192.168.12.234,Switch,VLG-76
192.168.12.235,Cam,VLG-76.1
192.168.12.236,Switch,VLG-77
192.168.12.237,Cam,VLG-77.1
192.168.12.238,Cam,VLG-77.2
192.168.12.250,Switch,VLG-78
192.168.12.251,Cam,VLG-78.1
192.168.13.2,Switch,VLG-79
192.168.13.3,Cam,VLG-79.1
192.168.13.26,Switch,VLG-82
192.168.13.27,Cam,VLG-82.1
192.168.13.34,Switch,VLG-83
192.168.13.35,Cam,VLG-83.1
192.168.13.36,Cam,VLG-83.2
192.168.13.50,Switch,VLG-85
192.168.13.51,Cam,VLG-85.1
192.168.13.52,Cam,VLG-85.2
192.168.13.58,Switch,VLG-86
192.168.13.59,Cam,VLG-86.1
192.168.13.60,Cam,VLG-86.2
192.168.13.61,Cam,VLG-86.3
192.168.13.66,Switch,VLG-87
192.168.13.67,Cam,VLG-87.1
192.168.13.68,Cam,VLG-87.2
192.168.13.74,Switch,VLG-88
192.168.13.75,Cam,VLG-88.1
192.168.13.76,Cam,VLG-88.2
192.168.13.90,Switch,VLG-33
192.168.13.91,Cam,VLG-33.1
192.168.13.92,Cam,VLG-33.2
192.168.13.98,Switch,VLG-34
192.168.13.99,Cam,VLG-34.1
192.168.13.100,Cam,VLG-34.2
192.168.13.106,Switch,VLG-35
192.168.13.107,Cam,VLG-35.1
192.168.13.108,Cam,VLG-35.2
192.168.13.114,Switch,VLG-36
192.168.13.115,Cam,VLG-36.1
192.168.13.116,Cam,VLG-36.2
192.168.13.122,Switch,VLG-37
192.168.13.123,Cam,VLG-37.1
192.168.13.124,Cam,VLG-37.2
192.168.13.125,Cam,VLG-37.3
192.168.13.130,Switch,VLG-38
192.168.13.131,Cam,VLG-38.1
192.168.13.132,Cam,VLG-38.2
192.168.13.138,Switch,VLG-39
192.168.13.139,Cam,VLG-39.1
192.168.13.140,Cam,VLG-39.2
192.168.13.146,Switch,VLG-40
192.168.13.147,Cam,VLG-40.1
192.168.13.148,Cam,VLG-40.2
192.168.13.149,Cam,VLG-40.3
192.168.13.154,Switch,VLG-41
192.168.13.155,Cam,VLG-41.1
192.168.13.156,Cam,VLG-41.2
192.168.13.157,Cam,VLG-41.3
192.168.13.162,Switch,VLG-42
192.168.13.163,Cam,VLG-42.1
192.168.13.164,Cam,VLG-42.2
192.168.13.170,Switch,VLG-43
192.168.13.171,Cam,VLG-43.1
192.168.13.172,Cam,VLG-43.2
192.168.13.178,Switch,VLG-44
192.168.13.179,Cam,VLG-44.1
192.168.13.180,Cam,VLG-44.2
192.168.13.186,Switch,VLG-45
192.168.13.187,Cam,VLG-45.1
192.168.13.188,Cam,VLG-45.2
192.168.13.194,Switch,VLG-47
192.168.13.195,Cam,VLG-47.1
192.168.13.202,Switch,VLG-48
192.168.13.203,Cam,VLG-48.1
192.168.13.204,Cam,VLG-48.2
192.168.13.210,Switch,VLG-49
192.168.13.211,Cam,VLG-49.1
192.168.13.212,Cam,VLG-49.2
192.168.13.218,Switch,VLG-50
192.168.13.219,Cam,VLG-50.1
192.168.13.220,Cam,VLG-50.2
192.168.13.226,Switch,VLG-51
192.168.13.227,Cam,VLG-51.1
192.168.13.228,Cam,VLG-51.2
192.168.13.234,Switch,VLG-52
